Title,Company,Location,Short Description,Link
Research Associate in Public Health,Flinders University,Bedford Park,"Support NHMRC-funded research in Population Health through data analysis, publications, and funding applications.",https://www.seek.com.au/job/86302739?type=standard&ref=search-standalone&origin=cardTitle#sol=388bc09a8c7c80c3ba88f7ea01c561e980962297
Procurement Analyst,Chris O'Brien Lifehouse,Camperdown,"Manage procurement data, update inventory & procurement catalogues, analyse data, identify cost-savings & support strategic sourcing initiatives",https://www.seek.com.au/job/86244666?type=standard&ref=search-standalone&origin=cardTitle#sol=e808af3190704fb368118961cb44913ba7444390
Reporting Analyst,Allianz Australia Insurance Ltd,Adelaide SA,"Analyze claims performance, develop Power BI reports, automate dashboards, liaise with stakeholders, and drive reporting changes at Allianz.",https://www.seek.com.au/job/86079607?type=standard&ref=search-standalone&origin=cardTitle#sol=bb59ad9b7438403b5dd438c41893b6275a2a09c3
Research Coordinator,Wesley Mission Queensland,Chermside,"WMQ is seeking a Research Coordinator  to enhance the implementation, coordination and operational effectiveness of research projects and partnerships",https://www.seek.com.au/job/85980823?type=standard&ref=search-standalone&origin=cardTitle#sol=8799bc5817817b020bce5525565b5a297a8bc234
"Senior Project Officer, Queensland Health",Department of Health - Queensland,Herston,"As the Senior Project Officer, you will collaborate with stakeholders from across Queensland Health, and non-government, private and...",https://www.seek.com.au/job/86256195?type=standard&ref=search-standalone&origin=cardTitle#sol=1c856fe9f99af65fb46ea3008de1953c36f8e463
Business Analyst,Health Partners,Adelaide SA,We’re looking for a passionate and adaptable Business Analyst to join our local team on a 12-month fixed term contract!,https://www.seek.com.au/job/86226721?type=standard&ref=search-standalone&origin=cardTitle#sol=526a4eb11f32adf3f5cf4acb1c0ae45a21d337e7
"Business Practice Improvement Officer, Queensland Health",Department of Health - Queensland,Toowoomba,Are you a strategic thinker with a passion for improving healthcare systems and patient outcomes? Join Darling Downs Health as a Business Practice...,https://www.seek.com.au/job/86131883?type=standard&ref=search-standalone&origin=cardTitle#sol=b69ff920d88e6bc208573a2165bafc9e7ef00383
Patient Safety Officer - Health Practioner and Clinical Nurse Consultant,Metro South Health,Brisbane QLD,The purpose of this role is to provide clinical expertise and consultancy through advanced clinical leadership relevant to Clinical Governance.,https://www.seek.com.au/job/86336247?type=standard&ref=search-standalone&origin=cardTitle#sol=4496a957c37b1aa0c830b16be9658c6cdc0db378
"Statutory Reporting and Data Integrity Mental Health, Health Information Manager",Albury Wodonga Health,Wangaratta,"The Statutory Reporting and Data Integrity Mental Health, Health Information Manager will be a valued member of Health Information Team",https://www.seek.com.au/job/86285176?type=standard&ref=search-standalone&origin=cardTitle#sol=a70a436ac4f98e742bac6b6b8a36832ecfd18af8
"APS6 National Hand Hygiene Initiative Coordinating Officer, IPC",Australian Commission on Safety and Quality in Health Care,Sydney NSW,"This role ensures the operation of the NHHI online systems, the currency of resources and providing operational support for the NHHI LMS and HHCApp",https://www.seek.com.au/job/86052864?type=standard&ref=search-standalone&origin=cardTitle#sol=152767867ff7dbb75046a1e639f8faa220ac02ea
Senior Data Engineer,Healthcare Logic,Bundall,"If you’re passionate about data with purpose and want to see your work directly improve healthcare systems, this is your moment.",https://www.seek.com.au/job/86080143?type=standard&ref=search-standalone&origin=cardTitle#sol=d3a39a905cc7a3184e156a0d798acf24b451dc02
